vehicle_type,year_month,trip_count
fhv,2015-02,483
fhv,2015-06,5
fhv,2015-07,191
fhv,2016-06,201
fhv,2016-07,201
fhv,2016-08,223
fhv,2016-09,227
fhv,2016-10,216
fhv,2016-12,7
fhv,2017-01,324
fhv,2017-02,8
fhv,2017-03,51
fhv,2017-04,88
fhv,2017-05,286
fhv,2017-06,15071869
fhv,2017-07,15415367
fhv,2017-08,15681969
fhv,2017-09,16424519
fhv,2017-10,17706462
fhv,2017-11,17873432
fhv,2017-12,19763728
fhv,2018-01,19584278
fhv,2018-02,19167126
fhv,2018-03,21805504
fhv,2018-04,20894756
fhv,2018-05,21399699
fhv,2018-06,20961994
fhv,2018-07,21453255
fhv,2018-08,21967371
fhv,2018-09,22017650
fhv,2018-10,23203966
fhv,2018-11,22829849
fhv,2018-12,23841712
fhv,2019-01,23116313
fhv,2019-02,1673176
fhv,2019-03,1435111
fhv,2019-04,1893473
fhv,2019-05,2023336
fhv,2019-06,1969005
fhv,2019-07,1912018
fhv,2019-08,1846559
fhv,2019-09,1223891
fhv,2019-10,1860311
fhv,2019-11,1850231
fhv,2019-12,2010430
fhv,2020-01,1996695
fhv,2020-02,1882069
fhv,2020-03,1417715
fhv,2020-04,557573
fhv,2020-05,762703
fhv,2020-06,1000790
fhv,2020-07,1116108
fhv,2020-08,1165800
fhv,2020-09,1252938
fhv,2020-10,1240973
fhv,2020-11,1188534
fhv,2020-12,1152084
fhv,2021-01,1141655
fhv,2021-02,1028230
fhv,2021-03,1290045
fhv,2021-04,1251066
fhv,2021-05,1251211
fhv,2021-06,1297043
fhv,2021-07,1222254
fhv,2021-08,1189626
fhv,2021-09,1166882
fhv,2021-10,1265319
fhv,2021-11,1217575
fhv,2021-12,1328915
fhv,2022-01,1134031
fhv,2022-02,1240852
fhv,2022-03,1369276
fhv,2022-04,1236367
fhv,2022-05,1246338
fhv,2022-06,1186836
fhv,2022-07,1149412
fhv,2022-08,1140662
fhv,2022-09,1151879
fhv,2022-10,1166742
fhv,2022-11,1096842
fhv,2022-12,1275363
fhv,2023-01,1106479
fhv,2023-02,1102419
fhv,2023-03,1317986
fhv,2023-04,1237182
fhv,2023-05,1376906
fhv,2023-06,1211853
fhv,2023-07,1362494
fhv,2023-08,1432184
fhv,2023-09,1285610
fhv,2023-10,1618977
fhv,2023-11,1336841
fhv,2023-12,1369749
fhv,2024-01,1283150
fhv,2024-02,1169300
fhv,2024-03,1461248
fhv,2024-04,1437291
fhv,2024-05,1344888
fhv,2024-06,1378721
fhv,2024-07,1376795
fhv,2024-08,1477751
fhv,2024-09,1710996
fhv,2024-10,1415007
fhv,2024-11,1584791
fhv,2024-12,1906482
fhv,2025-01,1890768
fhv,2025-02,1571389
fhv,2025-03,2175377
