LocationID,zone,borough,pickup_count,dropoff_count
1,Newark Airport,EWR,143536,3864321
2,Jamaica Bay,Queens,1893,3056
3,Allerton/Pelham Gardens,Bronx,596360,1111306
4,Alphabet City,Manhattan,3497093,5234680
5,Arden Heights,Staten Island,97594,105550
6,Arrochar/Fort Wadsworth,Staten Island,207488,234398
7,Astoria,Queens,7815817,8808160
8,Astoria Park,Queens,34273,53769
9,Auburndale,Queens,329931,448109
10,Baisley Park,Queens,1053948,1372165
11,Bath Beach,Brooklyn,392709,599022
12,Battery Park,Manhattan,424251,645447
13,Battery Park City,Manhattan,8646595,9298574
14,Bay Ridge,Brooklyn,1870949,3385683
15,Bay Terrace/Fort Totten,Queens,313743,405392
16,Bayside,Queens,739546,911262
17,Bedford,Brooklyn,4153191,6233715
18,Bedford Park,Bronx,1452286,2609947
19,Bellerose,Queens,234435,306820
20,Belmont,Bronx,950402,1647492
21,Bensonhurst East,Brooklyn,944483,1289883
22,Bensonhurst West,Brooklyn,1113685,1720670
23,Bloomfield/Emerson Hill,Staten Island,482184,576050
24,Bloomingdale,Manhattan,3143860,3570503
25,Boerum Hill,Brooklyn,4240743,4125530
26,Borough Park,Brooklyn,1617051,3203139
27,Breezy Point/Fort Tilden/Riis Beach,Queens,24062,50238
28,Briarwood/Jamaica Hills,Queens,737881,1334444
29,Brighton Beach,Brooklyn,874240,1036505
30,Broad Channel,Queens,11906,18668
31,Bronx Park,Bronx,224691,450021
32,Bronxdale,Bronx,724096,1305064
33,Brooklyn Heights,Brooklyn,4122145,4796590
34,Brooklyn Navy Yard,Brooklyn,362753,515139
35,Brownsville,Brooklyn,2033146,3093773
36,Bushwick North,Brooklyn,3294841,4509106
37,Bushwick South,Brooklyn,4367295,6481574
38,Cambria Heights,Queens,281805,360167
39,Canarsie,Brooklyn,2694290,3375288
40,Carroll Gardens,Brooklyn,1821437,2180234
41,Central Harlem,Manhattan,8636029,9590652
42,Central Harlem North,Manhattan,6528501,9254152
43,Central Park,Manhattan,13386003,11281727
44,Charleston/Tottenville,Staten Island,150560,159892
45,Chinatown,Manhattan,2625819,3353028
46,City Island,Bronx,63776,110887
47,Claremont/Bathgate,Bronx,1053447,1917525
48,Clinton East,Manhattan,29153895,25665169
49,Clinton Hill,Brooklyn,3849137,5127342
50,Clinton West,Manhattan,9251796,10992811
51,Co-Op City,Bronx,1151205,1891469
52,Cobble Hill,Brooklyn,1441347,1343471
53,College Point,Queens,465289,719796
54,Columbia Street,Brooklyn,332963,580971
55,Coney Island,Brooklyn,1041179,1307645
56,Corona,Queens,1390171,1986230
57,Corona,Queens,75956,160740
58,Country Club,Bronx,72629,126340
59,Crotona Park,Bronx,51773,104290
60,Crotona Park East,Bronx,679199,1219741
61,Crown Heights North,Brooklyn,6593911,9153710
62,Crown Heights South,Brooklyn,1681249,2335783
63,Cypress Hills,Brooklyn,970620,1741258
64,Douglaston,Queens,221470,318075
65,Downtown Brooklyn/MetroTech,Brooklyn,4023380,3749559
66,DUMBO/Vinegar Hill,Brooklyn,3098633,2861809
67,Dyker Heights,Brooklyn,571211,991680
68,East Chelsea,Manhattan,23530797,22623423
69,East Concourse/Concourse Village,Bronx,1986983,3468900
70,East Elmhurst,Queens,1665386,1457763
71,East Flatbush/Farragut,Brooklyn,1573569,2137433
72,East Flatbush/Remsen Village,Brooklyn,2019219,2685257
73,East Flushing,Queens,403384,516800
