vehicle_type,hour,avg_fare,median_fare,avg_tip_pct
green,0,12.04,10.91,10.41
green,1,11.88,11.0,10.27
green,2,12.09,11.4,10.17
green,3,12.71,12.0,9.65
green,4,13.95,14.5,8.2
green,5,16.51,16.0,8.98
green,6,17.08,13.5,9.28
green,7,14.92,12.5,9.24
green,8,14.2,12.5,9.91
green,9,14.04,12.5,9.74
green,10,13.95,12.1,8.85
green,11,13.96,12.39,8.42
green,12,13.93,12.1,8.41
green,13,13.85,12.1,8.13
green,14,13.82,12.1,8.16
green,15,13.76,12.0,9.43
green,16,13.64,12.0,9.1
green,17,12.96,11.5,9.78
green,18,12.14,11.0,10.62
green,19,11.68,10.5,10.86
green,20,11.7,10.7,10.86
green,21,11.97,10.7,10.92
green,22,12.34,11.0,11.09
green,23,12.31,11.0,10.85
yellow,0,14.46,11.0,17.96
yellow,1,13.65,11.0,18.69
yellow,2,13.19,10.7,19.83
yellow,3,13.79,11.0,18.2
yellow,4,16.34,13.0,17.57
yellow,5,17.6,11.5,17.16
yellow,6,14.41,9.5,15.92
yellow,7,13.28,10.0,16.92
yellow,8,13.3,10.0,17.16
yellow,9,13.38,10.0,16.92
yellow,10,13.6,10.5,16.58
yellow,11,13.78,10.5,16.27
yellow,12,14.01,10.5,16.11
yellow,13,14.47,10.5,16.15
yellow,14,14.99,10.7,16.08
yellow,15,15.06,10.7,16.17
yellow,16,15.28,10.7,17.44
yellow,17,14.54,10.7,17.42
yellow,18,13.57,10.5,17.97
yellow,19,13.2,10.0,18.34
yellow,20,13.52,10.0,17.84
yellow,21,13.84,10.5,17.88
yellow,22,14.24,11.0,17.65
yellow,23,14.68,11.4,17.41
