vehicle_type,hour,trip_count,avg_fare,avg_duration_min
fhv,0,17435486,,18.0
fhv,1,12245089,,16.86
fhv,2,8731177,,16.28
fhv,3,6913546,,16.7
fhv,4,7485125,,18.18
fhv,5,8972595,,20.33
fhv,6,14053951,,22.34
fhv,7,22469257,,23.1
fhv,8,28280721,,22.93
fhv,9,28170852,,22.08
fhv,10,25810367,,21.98
fhv,11,24897206,,22.42
fhv,12,25343785,,22.86
fhv,13,25703017,,23.4
fhv,14,26212792,,24.77
fhv,15,26127234,,25.78
fhv,16,26027673,,25.89
fhv,17,27918606,,24.53
fhv,18,28866980,,22.04
fhv,19,28106015,,20.19
fhv,20,26645717,,19.81
fhv,21,25928367,,19.62
fhv,22,25140206,,19.26
fhv,23,22515508,,18.76
green,0,2507201,12.04,11.73
green,1,1931856,11.88,11.39
green,2,1414668,12.09,11.3
green,3,1105355,12.71,11.57
green,4,936722,13.95,12.2
green,5,675528,16.51,13.78
green,6,1004605,17.08,15.8
green,7,1950811,14.92,15.88
green,8,2868571,14.2,15.89
green,9,3050030,14.04,15.2
green,10,2918549,13.95,14.85
green,11,2893808,13.96,14.94
green,12,2932215,13.93,15.82
green,13,2952180,13.85,15.97
green,14,3303930,13.82,16.56
green,15,3631954,13.76,16.93
green,16,3905107,13.64,16.92
green,17,4243025,12.96,15.97
green,18,4546927,12.14,14.26
green,19,4329967,11.68,12.94
green,20,3808616,11.7,12.42
green,21,3564561,11.97,12.28
green,22,3343480,12.34,12.38
green,23,3057722,12.31,12.15
yellow,0,25473934,14.46,13.26
yellow,1,17999120,13.65,12.35
yellow,2,12792635,13.19,11.75
yellow,3,9103108,13.79,11.84
yellow,4,6915775,16.34,12.67
yellow,5,7182289,17.6,12.72
yellow,6,16076206,14.41,12.2
yellow,7,27505474,13.28,13.3
yellow,8,34524424,13.3,14.49
yellow,9,35817189,13.38,14.67
yellow,10,36300258,13.6,14.84
yellow,11,38227867,13.78,15.2
yellow,12,40680535,14.01,15.54
yellow,13,41167878,14.47,15.99
yellow,14,43262854,14.99,16.94
yellow,15,42905637,15.06,17.34
yellow,16,40149563,15.28,17.44
yellow,17,45511000,14.54,16.67
yellow,18,50756942,13.57,15.14
yellow,19,48710306,13.2,13.97
yellow,20,44509659,13.52,13.62
yellow,21,44032145,13.84,13.63
yellow,22,41556733,14.24,13.87
yellow,23,34409003,14.68,13.87
